Area Type,Area,NAICS,NAICS Title,Year,Establishments,Average Employment,Total Wage,Annual Average Salary                                                                                                                                                  
Labor Market Area,New York City Region,11,"Agriculture, Forestry, Fishing & Hunting",2015,50,265,$16513146,$62314
Labor Market Area,New York City Region,111,Crop Production,2015,20,90,$3069101,$34101
Labor Market Area,New York City Region,112,Animal Production,2015,12,36,$1152655,$32018
Labor Market Area,New York City Region,115,Agriculture & Forestry Support Activity,2015,16,138,$12210930,$88485
Labor Market Area,New York City Region,21,Mining,2015,12,60,$8091337,$134856
Labor Market Area,New York City Region,211,Oil and Gas Extraction,2015,5,13,$3557302,$273639
Labor Market Area,New York City Region,212,Mining (except Oil and Gas),2015,3,23,$2692297,$117056
Labor Market Area,New York City Region,213,Support Activities for Mining,2015,4,24,$1841738,$76739
Labor Market Area,New York City Region,22,Utilities,2015,71,15186,$1720047938,$113265
Labor Market Area,New York City Region,221,Utilities,2015,71,15186,$1720047938,$113265
Labor Market Area,New York City Region,23,Construction,2015,13054,133911,$10199692959,$76168
Labor Market Area,New York City Region,236,Construction of Buildings,2015,5308,39097,$2859064829,$73127
Labor Market Area,New York City Region,237,Heavy and Civil Engineering Construction,2015,246,7900,$940059435,$118995
Labor Market Area,New York City Region,238,Specialty Trade Contractors,2015,7500,86914,$6400568695,$73643
Labor Market Area,New York City Region,31,Manufacturing,2015,5752,77213,$4360917948,$56479
Labor Market Area,New York City Region,311,Food Manufacturing,2015,1122,17682,$608198557,$34396
Labor Market Area,New York City Region,312,Beverage & Tobacco Product Manufacturing,2015,51,957,$226148540,$236310
Labor Market Area,New York City Region,313,Textile Mills,2015,123,1107,$95873665,$86607
Labor Market Area,New York City Region,314,Textile Product Mills,2015,125,1009,$57945791,$57429
Labor Market Area,New York City Region,315,Apparel Manufacturing,2015,1053,15127,$782582712,$51734
Labor Market Area,New York City Region,316,Leather and Allied Product Manufacturing,2015,65,440,$20807281,$47289
Labor Market Area,New York City Region,321,Wood Product Manufacturing,2015,78,948,$54045988,$57011
Labor Market Area,New York City Region,322,Paper Manufacturing,2015,54,1287,$81823667,$63577
Labor Market Area,New York City Region,323,Printing and Related Support Activities,2015,630,5778,$321306626,$55609
Labor Market Area,New York City Region,324,Petroleum & Coal Products Manufacturing,2015,7,66,$5616758,$85102
Labor Market Area,New York City Region,325,Chemical Manufacturing,2015,110,3205,$273823525,$85436
Labor Market Area,New York City Region,326,Plastics & Rubber Products Manufacturing,2015,71,1755,$76015206,$43314
Labor Market Area,New York City Region,327,Nonmetallic Mineral Product Mfg,2015,125,1681,$98625448,$58671
Labor Market Area,New York City Region,331,Primary Metal Manufacturing,2015,38,355,$17626736,$49653
Labor Market Area,New York City Region,332,Fabricated Metal Product Manufacturing,2015,394,6032,$342878707,$56843
Labor Market Area,New York City Region,333,Machinery Manufacturing,2015,99,1426,$82738451,$58021
Labor Market Area,New York City Region,334,Computer and Electronic Product Mfg,2015,122,3665,$381021389,$103962
Labor Market Area,New York City Region,335,Electrical Equipment and Appliances,2015,65,1007,$61460985,$61034
Labor Market Area,New York City Region,336,Transportation Equipment Manufacturing,2015,36,1059,$65072010,$61447
Labor Market Area,New York City Region,337,Furniture and Related Product Mfg,2015,405,3420,$177951456,$52033
Labor Market Area,New York City Region,339,Miscellaneous Manufacturing,2015,982,9207,$529354450,$57495
Labor Market Area,New York City Region,42,Wholesale Trade,2015,15153,134865,$11899508978,$88233
Labor Market Area,New York City Region,423,"Merchant Wholesalers, Durable Goods",2015,6125,49620,$4046964619,$81559
Labor Market Area,New York City Region,424,"Merchant Wholesalers, Nondurable Goods",2015,6819,72184,$6367552325,$88213
Labor Market Area,New York City Region,425,Electronic Markets and Agents/Brokers,2015,2210,13060,$1484992034,$113705
Labor Market Area,New York City Region,44,Retail Trade,2015,32230,346926,$13735665634,$39592
Labor Market Area,New York City Region,441,Motor Vehicle and Parts Dealers,2015,751,10693,$646580908,$60468
Labor Market Area,New York City Region,442,Furniture and Home Furnishings Stores,2015,1359,10578,$455235400,$43036
Labor Market Area,New York City Region,443,Electronics and Appliance Stores,2015,1669,18176,$965703445,$53131
Labor Market Area,New York City Region,444,Building Material & Garden Supply Stores,2015,1196,13693,$547125888,$39957
