Year, Field, Percent_of_total_employment
2000, "Total/All Government", 15.23
2000, "Arts/Entertainment/and Recreation", 1.52
2000, "Agriculture/Forestry/Fishing & Hunting", 0.01
2000, "Other Services/Ex. Public Admin", 3.75
2000, Information, 5.25
2000, Educational Services, 2.95
2000, Unclassified, 0.21
2000, Transportation and Warehousing, 3.17
2000, Professional and Technical Services, 8.66
2000, Retail Trade, 7.61
2000, Health Care and Social Assistance, 13.24
2000, Wholesale Trade, 4.19
2000, Accommodation and Food Services, 5.41
2000, Real Estate and Rental and Leasing, 3.21
2000, Administrative and Waste Services, 5.76
2000, Manufacturing, 4.78
2000, Construction, 3.25
2000, Management of Companies and Enterprises, 1.42
2000, Mining, 0.00
2000, Finance and Insurance, 9.99
2000, Utilities, 0.40
2001, "Total/All Government", 15.33
2001, "Arts/Entertainment/and Recreation", 1.56
2001, "Agriculture/Forestry/Fishing & Hunting", 0.01
2001, "Other Services/Ex. Public Admin", 3.78
2001, Information, 5.20
2001, Educational Services, 3.19
2001, Unclassified, 0.33
2001, Transportation and Warehousing, 3.11
2001, Professional and Technical Services, 8.42
2001, Retail Trade, 7.51
2001, Health Care and Social Assistance, 13.65
2001, Wholesale Trade, 4.12
2001, Accommodation and Food Services, 5.48
2001, Real Estate and Rental and Leasing, 3.22
2001, Administrative and Waste Services, 5.60
2001, Manufacturing, 4.34
2001, Construction, 3.31
2001, Management of Companies and Enterprises, 1.43
2001, Mining, 0.00
2001, Finance and Insurance, 10.02
2001, Utilities, 0.41
2002, "Total/All Government", 16.02
2002, "Arts/Entertainment/and Recreation", 1.57
2002, "Agriculture/Forestry/Fishing & Hunting", 0.00
2002, "Other Services/Ex. Public Admin", 3.85
2002, Information, 4.75
2002, Educational Services, 3.40
2002, Unclassified, 0.49
2002, Transportation and Warehousing, 2.92
2002, Professional and Technical Services, 8.04
2002, Retail Trade, 7.60
2002, Health Care and Social Assistance, 14.40
2002, Wholesale Trade, 4.02
2002, Accommodation and Food Services, 5.63
2002, Real Estate and Rental and Leasing, 3.22
2002, Administrative and Waste Services, 5.45
2002, Manufacturing, 4.00
2002, Construction, 3.22
2002, Management of Companies and Enterprises, 1.60
2002, Mining, 0.00
2002, Finance and Insurance, 9.39
2002, Utilities, 0.42
2003, "Total/All Government", 15.94
2003, "Arts/Entertainment/and Recreation", 1.65
2003, "Agriculture/Forestry/Fishing & Hunting", 0.01
2003, "Other Services/Ex. Public Admin", 3.86
2003, Information, 4.46
2003, Educational Services, 3.51
2003, Unclassified, 0.59
2003, Transportation and Warehousing, 2.92
2003, Professional and Technical Services, 8.04
2003, Retail Trade, 7.67
2003, Health Care and Social Assistance, 14.84
2003, Wholesale Trade, 4.00
2003, Accommodation and Food Services, 5.81
2003, Real Estate and Rental and Leasing, 3.29
2003, Administrative and Waste Services, 5.31
2003, Manufacturing, 3.68
2003, Construction, 3.18
2003, Management of Companies and Enterprises, 1.69
2003, Mining, 0.00
2003, Finance and Insurance, 9.11
2003, Utilities, 0.43
2004, "Total/All Government", 15.80
2004, "Arts/Entertainment/and Recreation", 1.71
2004, "Agriculture/Forestry/Fishing & Hunting", 0.01
2004, "Other Services/Ex. Public Admin", 3.84
2004, Information, 4.35
2004, Educational Services, 3.55
2004, Unclassified, 0.51
2004, Transportation and Warehousing, 2.93
2004, Professional and Technical Services, 8.19
2004, Retail Trade, 7.82
2004, Health Care and Social Assistance, 14.95
2004, Wholesale Trade, 4.01
2004, Accommodation and Food Services, 5.97
2004, Real Estate and Rental and Leasing, 3.31
2004, Administrative and Waste Services, 5.30
2004, Manufacturing, 3.48
2004, Construction, 3.14
2004, Management of Companies and Enterprises, 1.61
2004, Mining, 0.00
2004, Finance and Insurance, 9.10
2004, Utilities, 0.42
2005, "Total/All Government", 15.58
2005, "Arts/Entertainment/and Recreation", 1.72
